,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
25,25,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,2037-01-01 00:00:00,2037-01-01 00:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
26,26,Hypothetical Gulf of Maine Draft WEA 7,113952,121834.88130872988,138862.76261745975,2036-01-01 00:00:00,2036-11-24 11:00:00,2038-11-03 23:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
27,27,Hypothetical NY Bight Fixed 1,113952,126769.55195852545,138218.31283748837,2036-01-01 00:00:00,2037-06-18 02:00:00,2038-10-08 03:00:00,monopile,40,NY,sbmt,1500,False,2037-01-01 00:00:00
28,28,Hypothetical Central Atlantic WEA 3,113952,120918.46050191912,136933.9472419084,2036-01-01 00:00:00,2036-10-17 07:00:00,2038-08-15 14:00:00,monopile,40,MD,tradepoint_1,1607,False,2037-01-01 00:00:00
29,29,Hypothetical NE Fixed 2,105192,117347.95010563053,135311.880590641,2035-01-01 00:00:00,2036-05-21 12:00:00,2038-06-09 00:00:00,gbf,40,RI,new_london_1,1500,False,2036-01-01 00:00:00
30,30,Atlantic Shores Offshore Wind Bight,122736,122736.0,134720.38610922615,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-05-15 09:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
31,31,Hypothetical Gulf of Maine Draft WEA 6,113952,113952.0,130906.88130872988,2036-01-01 00:00:00,2036-01-01 00:00:00,2037-12-07 11:00:00,semisub,800,MA,searsport_2,1424,False,2037-01-01 00:00:00
32,32,Empire Wind 2,105192,117717.92950926819,126769.55195852545,2035-01-01 00:00:00,2036-06-05 22:00:00,2037-06-18 02:00:00,monopile,40,NY,sbmt,1260,False,2036-01-01 00:00:00
33,33,Vineyard Northeast,96432,96432.0,126505.05345982351,2034-01-01 00:00:00,2034-01-01 00:00:00,2037-06-07 02:00:00,gbf,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
34,34,Hypothetical Gulf of Maine Draft WEA 5,105192,105192.0,121834.88130872988,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-11-24 11:00:00,semisub,800,MA,searsport_1,1424,False,2036-01-01 00:00:00
35,35,Hypothetical Central Atlantic WEA 6,113952,113952.0,120918.46050191912,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-10-17 07:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
36,36,TotalEnergies,96432,108799.9061802497,118263.4956639929,2034-01-01 00:00:00,2035-05-31 08:00:00,2036-06-28 16:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
37,37,Excelsior Wind,78888,107358.7065887776,117717.92950926819,2032-01-01 00:00:00,2035-04-01 07:00:00,2036-06-05 22:00:00,monopile,40,NY,sbmt,1314,False,2033-01-01 00:00:00
38,38,Garden State Offshore Energy I,105192,109086.19131884018,117407.1328265172,2035-01-01 00:00:00,2035-06-12 07:00:00,2036-05-24 00:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
39,39,Hypothetical NE Floating 3,96432,99744.2240443012,117347.95010563053,2034-01-01 00:00:00,2034-05-19 01:00:00,2036-05-21 12:00:00,semisub,800,RI,new_london_1,1500,False,2035-01-01 00:00:00
40,40,Hypothetical Central Atlantic WEA  2,87672,109846.27131697601,117324.62551438907,2033-01-01 00:00:00,2035-07-13 23:00:00,2036-05-20 13:00:00,monopile,40,VA,portsmouth_1,927,False,2034-01-01 00:00:00
41,41,Ocean Wind 2,105192,106705.52920646654,116646.6599117931,2035-01-01 00:00:00,2035-03-05 02:00:00,2036-04-22 07:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
42,42,Hypothetical Central Atlantic WEA 5,105192,105192.0,113267.35750177919,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-12-03 12:00:00,monopile,40,MD,tradepoint_1,713,False,2036-01-01 00:00:00
43,43,Hypothetical Gulf of Maine Draft WEA 13,96432,96432.0,112794.96327339874,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-11-13 19:00:00,semisub,800,ME,salem,1424,False,2035-01-01 00:00:00
44,44,Hypothetical Central Atlantic WEA 4,78888,99744.2240443012,109846.27131697601,2032-01-01 00:00:00,2034-05-19 01:00:00,2035-07-13 23:00:00,monopile,40,NC,portsmouth_1,1607,False,2033-01-01 00:00:00
45,45,Bluepoint Wind,96432,100504.66502330388,109086.19131884018,2034-01-01 00:00:00,2034-06-19 17:00:00,2035-06-12 07:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
46,46,Kitty Hawk South,87672,87672.0,108799.9061802497,2033-01-01 00:00:00,2033-01-01 00:00:00,2035-05-31 08:00:00,monopile,40,NC,portsmouth_2,2465,False,2034-01-01 00:00:00
47,47,Beacon Wind 2,70128,93903.75149014292,107358.7065887776,2031-01-01 00:00:00,2033-09-17 16:00:00,2035-04-01 07:00:00,monopile,40,NY,sbmt,1200,False,2032-01-01 00:00:00
48,48,Ocean Wind 1,96432,96432.0,106705.52920646654,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-03-05 02:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
49,49,Hypothetical Gulf of Maine Draft WEA 12,87672,87672.0,104010.88130872988,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-11-12 19:00:00,semisub,800,MA,searsport_1,1424,False,2034-01-01 00:00:00
50,50,Hypothetical Gulf of Maine Draft WEA 8,87672,87672.0,103990.76642800523,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-11-11 23:00:00,semisub,800,NH,searsport_2,1424,False,2034-01-01 00:00:00
51,51,Atlantic Shores Offshore Wind North,70128,92206.70624969927,100504.66502330388,2031-01-01 00:00:00,2033-07-08 23:00:00,2034-06-19 17:00:00,monopile,40,NJ,njwp_1,1182,False,2032-01-01 00:00:00
52,52,Hypothetical Central Atlantic Draft WEA 7,78888,81282.06245064965,99744.2240443012,2032-01-01 00:00:00,2032-04-09 19:00:00,2034-05-19 01:00:00,semisub,800,VA,portsmouth_1,1566,False,2033-01-01 00:00:00
53,53,Hypothetical Central Atlantic WEA 1,87672,87672.0,98333.54291781518,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-03-21 06:00:00,monopile,40,MD,tradepoint_1,927,False,2034-01-01 00:00:00
54,54,Beacon Wind 1,70128,82625.33192908704,93903.75149014292,2031-01-01 00:00:00,2032-06-04 18:00:00,2033-09-17 16:00:00,monopile,40,NY,sbmt,1230,False,2032-01-01 00:00:00
55,55,Bay State Wind b,78888,78888.0,92461.20213050321,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-07-19 14:00:00,jacket,40,MA,new_london_2,1120,False,2033-01-01 00:00:00
56,56,Leading Light Wind,70128,73790.33332905725,92206.70624969927,2031-01-01 00:00:00,2031-06-02 15:00:00,2033-07-08 23:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01 00:00:00
