,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
36,36,Vineyard Northeast,96432,96432.0,126505.05345982351,2034-01-01 00:00:00,2034-01-01 00:00:00,2037-06-07 02:00:00,gbf,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
37,37,Excelsior Wind,78888,113396.78418760012,125849.82696278873,2032-01-01 00:00:00,2035-12-08 21:00:00,2037-05-10 18:00:00,monopile,40,NY,sbmt,1314,False,2033-01-01 00:00:00
38,38,Hypothetical Gulf of Maine Draft WEA 8,105192,105894.66159365154,122656.92802165677,2035-01-01 00:00:00,2035-01-30 07:00:00,2036-12-28 17:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
39,39,Duke Energy/Cinergy,70128,110411.47989853469,120925.58130927352,2031-01-01 00:00:00,2035-08-06 12:00:00,2036-10-17 14:00:00,monopile,40,NC,portsmouth_1,893,False,2032-01-01 00:00:00
40,40,Skipjack 2,70128,104373.93533319634,113396.78418760012,2031-01-01 00:00:00,2034-11-27 22:00:00,2035-12-08 21:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01 00:00:00
41,41,Hypothetical Gulf of Maine Draft WEA 12,96432,96432.0,112806.88130872988,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-11-14 07:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01 00:00:00
42,42,Leading Light Wind,70128,92122.16346172684,110411.47989853469,2031-01-01 00:00:00,2033-07-05 11:00:00,2035-08-06 12:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01 00:00:00
43,43,Hypothetical Central Atlantic Draft WEA 7,87672,87672.0,105894.66159365154,2033-01-01 00:00:00,2033-01-01 00:00:00,2035-01-30 07:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01 00:00:00
44,44,Skipjack 1,70128,103168.67280919482,104373.93533319634,2031-01-01 00:00:00,2034-10-08 17:00:00,2034-11-27 22:00:00,monopile,40,MD,tradepoint_1,120,False,2032-01-01 00:00:00
45,45,Beacon Wind 2,70128,91658.11777242085,103168.67280919482,2031-01-01 00:00:00,2033-06-16 03:00:00,2034-10-08 17:00:00,monopile,40,NY,sbmt,1200,False,2032-01-01 00:00:00
46,46,Beacon Wind 1,70128,82429.90205556195,92122.16346172684,2031-01-01 00:00:00,2032-05-27 14:00:00,2033-07-05 11:00:00,monopile,40,NY,arthur_kill,1230,False,2032-01-01 00:00:00
47,47,Atlantic Shores Offshore Wind South 2,70128,81737.34138727207,91658.11777242085,2031-01-01 00:00:00,2032-04-28 18:00:00,2033-06-16 03:00:00,monopile,40,NJ,njwp_2,1500,False,2032-01-01 00:00:00
48,48,Bay State Wind b,78888,78888.0,91340.60211085493,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-06-02 21:00:00,gbf,40,MA,new_london_2,1120,False,2033-01-01 00:00:00
49,49,Bay State Wind a (Revolution Wind 2),78888,78888.0,88586.60211085493,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-02-08 03:00:00,gbf,40,RI,new_london_1,880,False,2033-01-01 00:00:00
50,50,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",61368,70736.93365932701,84424.36731865403,2030-01-01 00:00:00,2031-01-26 09:00:00,2032-08-18 17:00:00,gbf,40,MA,salem,1232,False,2031-01-01 00:00:00
51,51,Community Offshore Wind 1,61368,73539.47937372612,82429.90205556195,2030-01-01 00:00:00,2031-05-23 04:00:00,2032-05-27 14:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01 00:00:00
52,52,Atlantic Shores Offshore Wind North,70128,73789.5584567807,81737.34138727207,2031-01-01 00:00:00,2031-06-02 14:00:00,2032-04-28 18:00:00,monopile,40,NJ,njwp_1,1182,False,2032-01-01 00:00:00
53,53,SouthCoast Residual,52608,66391.2750429554,75709.66256443309,2029-01-01 00:00:00,2030-07-29 08:00:00,2031-08-21 14:00:00,gbf,40,MA,new_bedford,800,False,2030-01-01 00:00:00
54,54,Attentive Energy Two,61368,62149.22512772347,73789.5584567807,2030-01-01 00:00:00,2030-02-02 14:00:00,2031-06-02 14:00:00,monopile,40,NJ,njwp_1,1342,False,2031-01-01 00:00:00
55,55,Attentive Energy One,61368,61368.0,73539.47937372612,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-05-23 04:00:00,monopile,40,NY,arthur_kill,1404,False,2031-01-01 00:00:00
56,56,"New England Wind 1 (Park City Wind, Vineyard Wind South)",61368,61368.0,70736.93365932701,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-01-26 09:00:00,gbf,40,CT,salem,800,False,2029-01-01 00:00:00
57,57,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,61740.3875214777,66391.2750429554,2029-01-01 00:00:00,2030-01-16 13:00:00,2030-07-29 08:00:00,gbf,40,MA,new_bedford,400,False,2030-01-01 00:00:00
58,58,Kitty Hawk North,52608,52608.0,62149.22512772347,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-02-02 14:00:00,monopile,40,VA,portsmouth_2,1035,False,2030-01-01 00:00:00
59,59,SouthCoast 1 Phase 1 (Mayflower Wind 1),52608,52608.0,61740.3875214777,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-01-16 13:00:00,gbf,40,MA,new_bedford,804,False,2030-01-01 00:00:00
60,60,MarWin Residual,52608,55327.43568131766,58721.97985049738,2029-01-01 00:00:00,2029-04-24 08:00:00,2029-09-12 18:00:00,monopile,40,MD,tradepoint_1,600,False,2030-01-01 00:00:00
