,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
1645,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,5447.790155096865,MonopileInstallation,MonopileInstallation,,,
1646,,WTIV,Lift Blade,1.32,16500.0,ACTION,5449.053964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1647,,Feeder 1,Transit,8.01674486822009,25052.327713187784,ACTION,5450.1974539649245,TurbineInstallation,,,,
1648,,WTIV,Attach Blade,1.5,18750.0,ACTION,5450.553964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1649,,WTIV,Release Blade,0.5,6250.0,ACTION,5451.053964228484,TurbineInstallation,,,,
1650,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,5451.864120631591,TurbineInstallation,TurbineInstallation,,,
1651,,WTIV,Lift Blade,1.32,16500.0,ACTION,5452.373964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1652,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,5453.297403047644,MonopileInstallation,,,,
1653,,WTIV,Attach Blade,1.5,18750.0,ACTION,5453.873964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1654,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,5454.1793603563665,MonopileInstallation,MonopileInstallation,,40.0,
1655,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,5454.184360356367,MonopileInstallation,MonopileInstallation,,40.0,
1656,,WTIV,Release Blade,0.5,6250.0,ACTION,5454.373964228484,TurbineInstallation,,,,
1657,,Feeder 0,ActiveFeeder,30.12666666666678,94145.83333333368,ACTION,5454.373964228484,TurbineInstallation,,Site,,
1658,,Feeder 1,Queue,2.5098435968932336,7843.261240291355,ACTION,5454.373964228484,TurbineInstallation,,Site,,
1659,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,5455.184360356367,MonopileInstallation,MonopileInstallation,,40.0,
1660,,WTIV,Lift Blade,1.32,16500.0,ACTION,5455.693964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1661,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,5456.040630895151,TurbineInstallation,TurbineInstallation,,,
1662,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,5456.384360356366,MonopileInstallation,MonopileInstallation,,40.0,
1663,,WTIV,Attach Blade,1.5,18750.0,ACTION,5457.193964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1664,,WTIV,Jackdown,0.43333333333333335,5416.666666666667,ACTION,5457.627297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1665,,WTIV,Position Onsite,5.0,62500.0,ACTION,5462.627297561818,TurbineInstallation,,,,
1666,,WTIV,Jackup,0.43333333333333335,5416.666666666667,ACTION,5463.060630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1667,,Feeder 0,Transit,8.01674486822009,25052.327713187784,ACTION,5464.057375763371,TurbineInstallation,,,,
1668,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5464.060630895151,TurbineInstallation,,,,
1669,,WTIV,Lift Tower Section,0.66,8250.0,ACTION,5464.720630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1670,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,5466.057375763371,TurbineInstallation,TurbineInstallation,,,
1671,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,5466.384360356366,MonopileInstallation,,,,
1672,,Feeder 0,ActiveFeeder,111.594205259501,348731.89143594063,ACTION,5466.384360356366,MonopileInstallation,,Site,,
1673,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5466.720630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1674,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,5467.384360356366,MonopileInstallation,MonopileInstallation,,40.0,
1675,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5467.720630895151,TurbineInstallation,,,,
1676,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,5468.051027023033,MonopileInstallation,MonopileInstallation,,,
1677,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,5468.057375763371,TurbineInstallation,TurbineInstallation,,,
