,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
258,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,1107.1444108035917,MonopileInstallation,,,,
259,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,1108.8110774702584,MonopileInstallation,MonopileInstallation,,40.0,
260,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,1109.8110774702584,MonopileInstallation,MonopileInstallation,,40.0,
261,,Feeder 1,Delay,8.0,25000.0,ACTION,1112.724120161536,MonopileInstallation,MonopileInstallation,,,
262,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,1119.8110774702584,MonopileInstallation,,,,
263,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,1120.6930347789805,MonopileInstallation,MonopileInstallation,,40.0,
264,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,1120.6980347789806,MonopileInstallation,MonopileInstallation,,40.0,
265,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,1120.724120161536,MonopileInstallation,MonopileInstallation,,,
266,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1121.6980347789806,MonopileInstallation,MonopileInstallation,,40.0,
267,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,1122.8980347789807,MonopileInstallation,MonopileInstallation,,40.0,
268,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,1132.8980347789807,MonopileInstallation,,,,
269,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1133.8980347789807,MonopileInstallation,MonopileInstallation,,40.0,
270,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,1134.8980347789807,MonopileInstallation,MonopileInstallation,,40.0,
271,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,1138.8980347789807,MonopileInstallation,MonopileInstallation,,40.0,
272,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,1140.5647014456474,MonopileInstallation,MonopileInstallation,,40.0,
273,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,1145.5647014456474,MonopileInstallation,,,,
274,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,1147.2313681123142,MonopileInstallation,MonopileInstallation,,40.0,
275,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,1148.2313681123142,MonopileInstallation,MonopileInstallation,,40.0,
276,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,1158.2313681123142,MonopileInstallation,,,,
277,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,1159.1133254210363,MonopileInstallation,MonopileInstallation,,40.0,
278,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,1159.1183254210364,MonopileInstallation,MonopileInstallation,,40.0,
279,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1160.1183254210364,MonopileInstallation,MonopileInstallation,,40.0,
280,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,1161.3183254210364,MonopileInstallation,MonopileInstallation,,40.0,
281,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,1171.3183254210364,MonopileInstallation,,,,
282,,Feeder 0,ActiveFeeder,107.59420525950054,336231.8914359392,ACTION,1171.3183254210364,MonopileInstallation,,Site,,
283,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1172.3183254210364,MonopileInstallation,MonopileInstallation,,40.0,
284,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,1173.3183254210364,MonopileInstallation,MonopileInstallation,,40.0,
285,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,1177.3183254210364,MonopileInstallation,MonopileInstallation,,40.0,
286,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,1178.9849920877032,MonopileInstallation,MonopileInstallation,,40.0,
287,,Feeder 0,Delay,26.0,81250.0,ACTION,1197.3183254210364,MonopileInstallation,MonopileInstallation,,,
288,,Feeder 1,Delay,77.0,240625.0,ACTION,1197.724120161536,MonopileInstallation,MonopileInstallation,,,
289,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,1198.9849920877032,MonopileInstallation,MonopileInstallation,,,
290,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,1209.724120161536,MonopileInstallation,MonopileInstallation,,,
291,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,1217.724120161536,MonopileInstallation,MonopileInstallation,,,
292,,Feeder 0,Transit,39.321634209940946,122880.10690606546,ACTION,1238.306626297644,MonopileInstallation,,,,
293,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,1250.306626297644,MonopileInstallation,MonopileInstallation,,,
294,,Feeder 1,Transit,39.321634209940946,122880.10690606546,ACTION,1257.0457543714767,MonopileInstallation,,,,
295,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,1258.306626297644,MonopileInstallation,MonopileInstallation,,,
296,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,1258.7124210381435,MonopileInstallation,MonopileInstallation,,,
