,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
922,,Towing Group 2,Check Mooring Lines,6.0,42500.0,ACTION,7153.685472772067,MooredSubInstallation,,2.0,1.0
923,,Towing Group 2,Transit,1.0,7083.333333333334,ACTION,7154.685472772067,MooredSubInstallation,,2.0,1.0
924,,Towing Group 2,Delay,1.0,7083.333333333334,ACTION,7155.685472772067,MooredSubInstallation,,2.0,1.0
925,,Towing Group 2,Transit,5.383414757897432,38132.52120177348,ACTION,7161.068887529966,MooredSubInstallation,,2.0,1.0
926,,Turbine Assembly Line 1,Delay,24.0,0.0,ACTION,7168.436780661056,MooredSubInstallation,,,
927,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7171.936780661056,MooredSubInstallation,,,
928,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7195.936780661056,MooredSubInstallation,,,
929,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,7267.936780661056,MooredSubInstallation,,,
930,,Towing Group 3,Delay: No Completed Turbine Assemblies,400.867893131091,2839480.9096785616,ACTION,7267.936780661056,MooredSubInstallation,,2.0,1.0
931,,Towing Group 3,Ballast to Towing Draft,6.0,42500.0,ACTION,7273.936780661056,MooredSubInstallation,,2.0,1.0
932,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,7275.936780661056,MooredSubInstallation,,,
933,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7277.936780661056,MooredSubInstallation,,,
934,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,7287.936780661056,MooredSubInstallation,,,
935,,Towing Group 3,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,7290.185472772067,MooredSubInstallation,,2.0,1.0
936,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7291.936780661056,MooredSubInstallation,,,
937,,Towing Group 3,Position Substructure,2.0,14166.666666666668,ACTION,7292.185472772067,MooredSubInstallation,,2.0,1.0
938,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7295.936780661056,MooredSubInstallation,,,
939,,Towing Group 3,Ballast to Operational Draft,6.0,42500.0,ACTION,7298.185472772067,MooredSubInstallation,,2.0,1.0
940,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,7307.936780661056,MooredSubInstallation,,,
