,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
92,2031-02-02 07:41:42.519475,2,4,4,10,0,1,1,1,1,1,1,1,1,0,0,1
93,2031-04-26 08:56:01.173577,1,4,4,9,0,1,1,1,1,1,1,1,1,0,0,1
94,2031-07-15 19:39:13.558397,1,3,3,9,0,0,1,1,1,1,1,1,0,0,0,1
95,2031-07-15 19:39:13.558397,1,3,3,9,0,1,1,1,1,1,1,1,0,0,0,1
96,2031-07-15 19:39:13.558397,1,3,4,9,0,1,1,1,1,1,1,1,0,0,0,1
97,2031-07-15 19:39:13.558397,1,3,4,9,0,1,1,1,1,1,1,1,0,0,0,1
98,2031-10-05 08:15:21.474731,1,2,3,9,0,0,1,1,0,1,1,1,0,0,0,1
99,2031-10-05 08:15:21.474731,1,3,3,9,0,0,1,1,0,1,1,1,0,0,0,1
100,2031-10-05 10:44:07.223359,1,3,3,9,0,1,1,1,0,1,1,1,0,0,0,1
101,2031-10-05 10:44:07.223359,1,3,4,9,0,1,1,1,0,1,1,1,0,0,0,1
102,2031-10-05 10:44:07.223359,1,3,4,9,0,1,1,1,0,1,1,1,0,0,0,1
103,2031-10-05 10:44:07.223359,1,3,4,9,0,1,1,1,0,1,1,1,0,0,0,1
104,2031-10-13 19:39:13.558397,1,3,4,9,0,1,1,1,0,1,1,1,0,1,0,1
105,2032-01-01 00:00:00.000000,0,3,4,8,0,1,1,1,0,1,1,0,0,1,0,1
106,2032-01-01 00:00:00.000000,0,3,4,8,0,1,1,1,0,1,1,0,0,1,0,1
107,2032-01-01 00:00:00.000000,0,3,4,8,0,1,1,1,0,1,1,0,0,1,0,1
108,2032-01-03 10:44:07.223359,0,3,4,8,0,1,1,1,0,1,1,0,1,1,0,1
109,2032-07-24 15:22:02.347154,1,3,4,8,0,1,1,1,0,1,1,0,1,1,0,1
110,2032-07-24 15:22:02.347154,1,3,4,9,0,1,1,1,0,1,1,0,1,1,0,1
111,2032-08-12 10:57:36.480459,1,3,4,9,0,1,0,1,0,1,1,0,1,1,0,0
112,2032-08-12 10:57:36.480459,1,4,4,9,0,1,0,1,0,1,1,0,1,1,0,0
113,2032-08-13 03:23:33.526850,1,4,4,9,0,2,0,1,0,1,1,0,1,1,0,0
114,2032-08-13 03:23:33.526850,1,4,5,9,0,2,0,1,0,1,1,0,1,1,0,0
115,2032-08-13 03:23:33.526850,1,4,5,9,0,2,0,1,0,1,1,0,1,1,0,0
116,2032-08-13 03:23:33.526850,1,4,5,9,0,2,0,1,0,1,1,0,1,1,0,0
117,2032-10-22 15:22:02.347154,0,4,5,8,0,2,0,1,0,1,1,0,1,1,0,0
118,2032-11-11 03:23:33.526850,0,4,5,8,0,2,0,1,1,1,1,0,1,1,0,0
119,2033-01-01 00:00:00.000000,0,4,5,8,0,2,0,1,1,1,1,0,1,1,0,0
120,2033-09-09 23:30:25.800127,1,4,5,8,0,2,0,1,1,1,1,0,1,1,0,0
121,2033-09-09 23:30:25.800127,1,4,5,9,0,2,0,1,1,1,1,0,1,1,0,0
122,2033-10-03 13:51:44.817383,1,3,4,9,0,1,0,1,0,1,1,0,1,1,0,0
123,2033-10-03 13:51:44.817383,1,3,4,9,0,1,1,1,0,1,1,0,1,1,0,0
124,2033-10-03 13:51:44.817383,1,3,4,9,0,1,1,1,0,1,1,0,1,1,0,0
125,2033-12-08 23:30:25.800127,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,0
126,2034-01-01 00:00:00.000000,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,0
127,2034-01-01 00:00:00.000000,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,0
128,2034-01-01 00:00:00.000000,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,0
129,2034-01-01 00:00:00.000000,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,0
130,2034-01-01 13:51:44.817383,1,3,4,9,0,1,1,1,0,1,1,1,1,1,0,1
131,2034-05-16 07:14:39.572252,1,3,3,9,0,0,1,1,0,1,0,1,1,1,0,1
132,2034-05-16 07:14:39.572252,1,4,3,9,0,0,1,1,0,1,0,1,1,1,0,1
133,2034-05-16 23:40:36.618644,1,4,3,9,0,1,1,1,0,1,0,1,1,1,0,1
134,2034-05-16 23:40:36.618644,1,4,4,9,0,1,1,1,0,1,0,1,1,1,0,1
135,2034-05-16 23:40:36.618644,1,4,4,9,0,1,1,1,0,1,0,1,1,1,0,1
136,2034-05-16 23:40:36.618644,1,4,4,9,0,1,1,1,0,1,0,1,1,1,0,1
137,2034-08-14 23:40:36.618644,1,4,4,9,0,1,1,1,1,1,0,1,1,1,0,1
138,2034-11-24 11:48:34.354761,2,4,4,9,0,1,1,1,1,1,0,1,1,1,0,1
139,2034-11-24 11:48:34.354761,2,4,4,10,0,1,1,1,1,1,0,1,1,1,0,1
140,2034-12-05 09:47:55.907378,2,3,3,10,0,0,1,1,0,1,0,1,1,1,0,1
141,2035-01-01 00:00:00.000000,2,3,3,10,0,0,1,1,0,1,0,1,1,1,0,1
142,2035-01-01 00:00:00.000000,2,3,3,10,0,0,1,1,0,1,0,1,1,1,0,1
143,2035-01-01 00:00:00.000000,2,3,3,10,0,0,1,1,0,1,0,1,1,1,0,1
144,2035-01-26 10:12:04.123089,2,3,3,10,0,1,1,1,0,1,0,1,1,1,0,1
145,2035-01-26 10:12:04.123089,2,3,4,10,0,1,1,1,0,1,0,1,1,1,0,1
146,2035-01-26 10:12:04.123089,2,3,4,10,0,1,1,1,0,1,0,1,1,1,0,1
147,2035-02-22 11:48:34.354761,2,3,4,10,0,1,1,1,0,1,0,1,1,1,1,1
148,2035-04-26 10:12:04.123089,2,3,4,10,0,1,1,1,0,1,1,1,1,1,1,1
149,2035-10-19 23:03:17.663393,2,2,3,10,0,0,1,1,0,0,1,1,1,1,1,1
150,2035-10-19 23:03:17.663393,2,3,3,10,0,0,1,1,0,0,1,1,1,1,1,1
151,2035-10-20 15:29:14.709784,2,3,3,10,0,1,1,1,0,0,1,1,1,1,1,1
152,2035-10-20 15:29:14.709784,2,3,4,10,0,1,1,1,0,0,1,1,1,1,1,1
153,2035-10-20 15:29:14.709784,2,3,4,10,0,1,1,1,0,0,1,1,1,1,1,1
154,2035-10-20 15:29:14.709784,2,3,4,10,0,1,1,1,0,0,1,1,1,1,1,1
155,2036-01-18 15:29:14.709784,2,3,4,10,0,1,1,1,1,0,1,1,1,1,1,1
156,2036-09-16 14:29:54.111531,2,3,4,10,0,1,0,1,1,0,0,1,1,1,1,1
157,2036-09-16 14:29:54.111531,2,4,4,10,0,1,0,1,1,0,0,1,1,1,1,1
158,2036-09-16 14:29:54.111531,2,4,4,10,0,2,0,1,1,0,0,1,1,1,1,1
159,2036-09-16 14:29:54.111531,2,4,5,10,0,2,0,1,1,0,0,1,1,1,1,1
160,2036-09-16 14:29:54.111531,2,4,5,10,0,2,0,1,1,0,0,1,1,1,1,1
161,2036-09-16 14:29:54.111531,2,4,5,10,0,2,0,1,1,0,0,1,1,1,1,1
162,2036-12-15 14:29:54.111531,2,4,5,10,0,2,0,1,1,1,0,1,1,1,1,1
163,2037-01-01 00:00:00.000000,2,4,5,10,0,2,0,1,1,1,0,1,1,1,1,1
164,2037-08-06 08:03:09.844305,2,4,4,10,0,1,0,1,1,1,0,1,1,1,1,0
165,2037-08-06 08:03:09.844305,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,0
166,2037-08-06 08:03:09.844305,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,0
167,2037-11-04 08:03:09.844305,2,4,4,10,0,1,1,1,1,1,1,1,1,1,1,0
168,2038-05-16 05:32:04.771686,2,4,3,10,0,0,1,1,1,1,0,1,1,1,1,0
169,2038-05-16 05:32:04.771686,2,4,3,10,0,1,1,1,1,1,0,1,1,1,1,0
170,2038-05-16 05:32:04.771686,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,0
171,2038-05-16 05:32:04.771686,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,0
172,2038-08-14 05:32:04.771686,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
173,2038-11-13 13:00:15.783423,2,3,3,10,0,1,0,1,1,0,0,1,1,1,1,1
174,2038-11-29 16:53:07.517236,2,3,3,10,0,2,0,1,1,0,0,1,1,1,1,1
175,2038-11-29 16:53:07.517236,2,3,4,10,0,2,0,1,1,0,0,1,1,1,1,1
176,2038-11-29 16:53:07.517236,2,3,4,10,0,2,0,1,1,0,0,1,1,1,1,1
177,2039-02-27 16:53:07.517236,2,3,4,10,0,2,0,1,1,0,1,1,1,1,1,1
178,2039-08-22 10:48:38.126389,2,3,3,10,0,1,0,1,1,0,1,1,1,0,1,1
179,2039-08-22 10:48:38.126389,2,4,3,10,0,1,0,1,1,0,1,1,1,0,1,1
180,2039-08-22 10:48:38.126389,2,4,3,10,0,1,1,1,1,0,1,1,1,0,1,1
181,2039-08-22 10:48:38.126389,2,4,4,10,0,1,1,1,1,0,1,1,1,0,1,1
182,2039-08-22 10:48:38.126389,2,4,4,10,0,1,1,1,1,0,1,1,1,0,1,1
183,2039-08-22 10:48:38.126389,2,4,4,10,0,1,1,1,1,0,1,1,1,0,1,1
184,2039-11-20 10:48:38.126389,2,4,4,10,0,1,1,1,1,1,1,1,1,0,1,1
185,2040-06-20 06:49:21.844024,2,4,3,10,0,0,1,1,1,1,0,1,1,0,1,1
186,2040-06-20 21:36:59.872443,2,4,3,10,0,1,1,1,1,1,0,1,1,0,1,1
187,2040-06-20 21:36:59.872443,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
188,2040-06-20 21:36:59.872443,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
189,2040-09-18 21:36:59.872443,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
190,2041-08-28 16:54:43.813028,2,3,3,10,0,0,1,1,1,1,0,1,0,1,1,1
191,2041-08-28 16:54:43.813028,2,3,3,10,0,1,1,1,1,1,0,1,0,1,1,1
192,2041-08-28 16:54:43.813028,2,3,4,10,0,1,1,1,1,1,0,1,0,1,1,1
193,2041-08-28 16:54:43.813028,2,3,4,10,0,1,1,1,1,1,0,1,0,1,1,1
194,2041-09-16 01:17:57.938218,2,2,3,10,0,1,0,1,1,0,0,1,0,1,1,1
195,2041-09-16 01:17:57.938218,2,3,3,10,0,1,0,1,1,0,0,1,0,1,1,1
196,2041-09-16 23:42:58.583000,2,3,3,10,0,2,0,1,1,0,0,1,0,1,1,1
197,2041-09-16 23:42:58.583000,2,3,4,10,0,2,0,1,1,0,0,1,0,1,1,1
198,2041-09-16 23:42:58.583000,2,3,4,10,0,2,0,1,1,0,0,1,0,1,1,1
199,2041-09-16 23:42:58.583000,2,3,4,10,0,2,0,1,1,0,0,1,0,1,1,1
200,2041-11-26 16:54:43.813028,2,3,4,10,0,2,0,1,1,0,1,1,0,1,1,1
201,2041-12-15 23:42:58.583000,2,3,4,10,0,2,0,1,1,0,1,1,1,1,1,1
